id,market_id,selection_id,selection_name,odds,line
,2_64983927,0HC64983927N100_1,NY Jets,1.95238096,-1.0
,3_64983927,0OU64983927O3850_1,Over,1.90909091,38.5
,3_64983927,0OU64983927U3850_3,Under,1.90909091,38.5
,1_64983927,0ML64983927_3,JAX Jaguars,1.90909091,
,1_64983927,0ML64983927_1,NY Jets,1.90909091,
,3_68405784,0OU68405784O150_1,Over,1.47619048,1.5
,3_68405784,0OU68405784U150_3,Under,2.55,1.5
,3_68405785,0OU68405785O150_1,Over,1.52631579,1.5
,3_68405785,0OU68405785U150_3,Under,2.45,1.5
,3_68405787,0OU68405787O1950_1,Over,1.90909091,19.5
,3_68405787,0OU68405787U1950_3,Under,1.90909091,19.5
,3_68405786,0OU68405786O1950_1,Over,1.90909091,19.5
,3_68405786,0OU68405786U1950_3,Under,1.90909091,19.5
,129514189,0QA129514189#1405590061_13L88808Q12Q211120,11-20,2.35,
,129514189,0QA129514189#1405590173_13L88808Q13Q212130,21-30,2.95,
,129514189,0QA129514189#1405590058_13L88808Q11Q210110,0-10,4.9,
,129514189,0QA129514189#1405590176_13L88808Q14Q213140,31-40,8.5,
,129514189,0QA129514189#1405590196_13L88808Q15Q214150,41-50,36.0,
,129514189,0QA129514189#1405590199_13L88808Q16Q215199,51+,91.0,
,129514190,0QA129514190#1405590060_13L88808Q12Q211120,11-20,2.35,
,129514190,0QA129514190#1405590174_13L88808Q13Q212130,21-30,2.95,
,129514190,0QA129514190#1405590059_13L88808Q11Q210110,0-10,4.9,
,129514190,0QA129514190#1405590175_13L88808Q14Q213140,31-40,9.0,
,129514190,0QA129514190#1405590197_13L88808Q15Q214150,41-50,31.0,
,129514190,0QA129514190#1405590198_13L88808Q16Q215199,51+,91.0,
,129514140,0QA129514140#1405590009_13L88808Q10Q20,Yes,5.75,
,129514140,0QA129514140#1405590110_13L88808Q10Q21,No,1.11111112,
,3_68405795,0OU68405795O2650_1,Over,1.90909091,26.5
,3_68405795,0OU68405795U2650_3,Under,1.86956522,26.5
,1_68405788,0ML68405788_3,JAX Jaguars,1.8,
,1_68405788,0ML68405788_1,NY Jets,1.95238096,
,3_68405794,0OU68405794O950_1,Over,1.86956522,9.5
,3_68405794,0OU68405794U950_3,Under,1.90909091,9.5
,129514129,0QA129514129#1405590183_13L88808Q10Q221,Away Touchdown,3.3,
,129514129,0QA129514129#1405590189_13L88808Q10Q210,Away Field Goal,3.8,
,129514129,0QA129514129#1405590203_13L88808Q10Q220,Away Safety,66.0,
,129514129,0QA129514129#1405589997_13L88808Q10Q212,Home Touchdown,3.65,
,129514129,0QA129514129#1405590122_13L88808Q10Q213,Home Field Goal,4.1,
,129514129,0QA129514129#1405590145_13L88808Q10Q211,Home Safety,71.0,
,129514130,0QA129514130#1405589999_13L88808Q11Q21,Touchdown,1.74074075,
,129514130,0QA129514130#1405590120_13L88808Q12Q22,Field Goal,2.0,
,129514130,0QA129514130#1405590146_13L88808Q13Q23,Safety,29.0,
,2_68396775,0HC68396775P150_3,JAX Jaguars,1.71428572,1.5
,2_68396775,0HC68396775N150_1,NY Jets,2.2,-1.5
,3_68396775,0OU68396775O1950_1,Over,1.83333334,19.5
,3_68396775,0OU68396775U1950_3,Under,2.0,19.5
,1_68396775,0ML68396775_3,JAX Jaguars,1.95238096,
,1_68396775,0ML68396775_1,NY Jets,1.86956522,
,2_68396776,0HC68396776N150_3,JAX Jaguars,2.4,-1.5
,2_68396776,0HC68396776P150_1,NY Jets,1.60606061,1.5
,3_68396776,0OU68396776O750_1,Over,2.15,7.5
,3_68396776,0OU68396776U750_3,Under,1.74074075,7.5
,1_68396776,0ML68396776_3,JAX Jaguars,1.86956522,
,1_68396776,0ML68396776_1,NY Jets,1.95238096,
,2_64983930,0HC64983930N850_3,BUF Bills,1.90909091,-8.5
,2_64983930,0HC64983930P850_1,CHI Bears,1.90909091,8.5
,3_64983930,0OU64983930O4100_1,Over,1.86956522,41.0
,3_64983930,0OU64983930U4100_3,Under,1.95238096,41.0
,1_64983930,0ML64983930_3,BUF Bills,1.24390244,
,1_64983930,0ML64983930_1,CHI Bears,4.3,
,3_68405852,0OU68405852O150_1,Over,1.74074075,1.5
,3_68405852,0OU68405852U150_3,Under,1.95238096,1.5
,3_68405853,0OU68405853O250_1,Over,1.6451613,2.5
,3_68405853,0OU68405853U250_3,Under,2.15,2.5
,3_68405854,0OU68405854O1550_1,Over,1.83333334,15.5
,3_68405854,0OU68405854U1550_3,Under,2.0,15.5
,3_68405855,0OU68405855O2550_1,Over,1.90909091,25.5
,3_68405855,0OU68405855U2550_3,Under,1.90909091,25.5
,129514426,0QA129514426#1405590926_13L88808Q13Q212130,21-30,2.5,
,129514426,0QA129514426#1405590814_13L88808Q12Q211120,11-20,3.4,
,129514426,0QA129514426#1405590929_13L88808Q14Q213140,31-40,4.0,
,129514426,0QA129514426#1405590949_13L88808Q15Q214150,41-50,12.0,
,129514426,0QA129514426#1405590811_13L88808Q11Q210110,0-10,13.0,
,129514426,0QA129514426#1405590952_13L88808Q16Q215199,51+,46.0,
,129514427,0QA129514427#1405590813_13L88808Q12Q211120,11-20,2.2,
,129514427,0QA129514427#1405590812_13L88808Q11Q210110,0-10,3.05,
,129514427,0QA129514427#1405590927_13L88808Q13Q212130,21-30,3.9,
,129514427,0QA129514427#1405590928_13L88808Q14Q213140,31-40,16.0,
,129514427,0QA129514427#1405590950_13L88808Q15Q214150,41-50,61.0,
,129514427,0QA129514427#1405590951_13L88808Q16Q215199,51+,101.0,
,129514377,0QA129514377#1405590762_13L88808Q10Q20,Yes,5.75,
,129514377,0QA129514377#1405590863_13L88808Q10Q21,No,1.11111112,
,3_68405863,0OU68405863O2450_1,Over,1.86956522,24.5
,3_68405863,0OU68405863U2450_3,Under,1.90909091,24.5
,1_68405856,0ML68405856_3,BUF Bills,1.55555556,
,1_68405856,0ML68405856_1,CHI Bears,2.45,
,3_68405862,0OU68405862O950_1,Over,1.90909091,9.5
,3_68405862,0OU68405862U950_3,Under,1.86956522,9.5
,129514366,0QA129514366#1405590936_13L88808Q10Q221,Away Touchdown,2.45,
,129514366,0QA129514366#1405590942_13L88808Q10Q210,Away Field Goal,3.8,
,129514366,0QA129514366#1405590956_13L88808Q10Q220,Away Safety,81.0,
,129514366,0QA129514366#1405590750_13L88808Q10Q212,Home Touchdown,4.8,
,129514366,0QA129514366#1405590875_13L88808Q10Q213,Home Field Goal,4.6,
,129514366,0QA129514366#1405590898_13L88808Q10Q211,Home Safety,71.0,
,129514367,0QA129514367#1405590752_13L88808Q11Q21,Touchdown,1.6451613,
,129514367,0QA129514367#1405590873_13L88808Q12Q22,Field Goal,2.15,
,129514367,0QA129514367#1405590899_13L88808Q13Q23,Safety,26.0,
,2_68396828,0HC68396828N550_3,BUF Bills,1.86956522,-5.5
,2_68396828,0HC68396828P550_1,CHI Bears,1.95238096,5.5
,3_68396828,0OU68396828O2150_1,Over,1.90909091,21.5
,3_68396828,0OU68396828U2150_3,Under,1.90909091,21.5
,1_68396828,0ML68396828_3,BUF Bills,1.33898306,
,1_68396828,0ML68396828_1,CHI Bears,3.45,
,2_68396829,0HC68396829N250_3,BUF Bills,1.86956522,-2.5
,2_68396829,0HC68396829P250_1,CHI Bears,1.95238096,2.5
,3_68396829,0OU68396829O750_1,Over,2.0,7.5
,3_68396829,0OU68396829U750_3,Under,1.83333334,7.5
,1_68396829,0ML68396829_3,BUF Bills,1.46511628,
,1_68396829,0ML68396829_1,CHI Bears,2.85,
,2_64983933,0HC64983933P950_3,SEA Seahawks,1.90909091,9.5
,2_64983933,0HC64983933N950_1,KC Chiefs,1.90909091,-9.5
,3_64983933,0OU64983933O4900_1,Over,1.90909091,49.0
,3_64983933,0OU64983933U4900_3,Under,1.90909091,49.0
,1_64983933,0ML64983933_3,SEA Seahawks,4.7,
,1_64983933,0ML64983933_1,KC Chiefs,1.21739131,
,3_68405897,0OU68405897O250_1,Over,2.5,2.5
,3_68405897,0OU68405897U250_3,Under,1.5,2.5
,3_68405896,0OU68405896O350_1,Over,1.83333334,3.5
,3_68405896,0OU68405896U350_3,Under,1.83333334,3.5
,3_68405899,0OU68405899O1950_1,Over,1.90909091,19.5
,3_68405899,0OU68405899U1950_3,Under,1.90909091,19.5
,3_68405898,0OU68405898O2950_1,Over,1.86956522,29.5
,3_68405898,0OU68405898U2950_3,Under,1.95238096,29.5
